Order,Poisson,n_inc,N_mod,k_max,alpha,linearisation,full error X,full error Y
1,0.4,1,3,7,1,explicit,0.5864178218917298,0.06610137860536294
1,0.4,1,3,7,1,implicit,0.5864178218917298,0.06610137860536294
1,0.4,1,3,7,1,mixed,0.5864178218917298,0.06610137860536294
2,0.4,1,3,7,1,explicit,2.3623897312992406,12.729994148222492
2,0.4,1,3,7,1,implicit,1.1218757420681045,0.35128333456124283
2,0.4,1,3,7,1,mixed,0.36764816451301835,0.265900698467545
3,0.4,1,3,7,1,explicit,0.22144648305270576,0.041295514363355615
3,0.4,1,3,7,1,implicit,0.20929193410373326,0.4627904265908762
3,0.4,1,3,7,1,mixed,0.05883047263338569,0.11595091156005125
